Track[name=Where Have You Been,artist=Rihanna,duration=243,color=java.awt.Color[r=160,g=95,b=219],day=-1,graphHeight=59581], 1374519087, -642890299
Track[name=Too Close,artist=Alex Clare,duration=257,color=java.awt.Color[r=22,g=233,b=44],day=-1,graphHeight=59324], 1060704430, -458853963
Track[name=Drive By,artist=Train,duration=195,color=java.awt.Color[r=234,g=21,b=75],day=-1,graphHeight=59126], 997601263, 1700849435
Track[name=Wide Awake,artist=Katy Perry,duration=221,color=java.awt.Color[r=0,g=255,b=222],day=-1,graphHeight=58896], 1279595112, 311165463
Track[name=Sing,artist=Gary Barlow & The Commonwealth Band,duration=241,color=java.awt.Color[r=29,g=226,b=88],day=-1,graphHeight=58655], 1253806326, 501289733
Track[name=Picking Up The Pieces - Radio Edit,artist=Paloma Faith,duration=219,color=java.awt.Color[r=125,g=130,b=70],day=-1,graphHeight=58441], 1613376718, -52710286
Track[name=Scream,artist=Usher,duration=235,color=java.awt.Color[r=13,g=242,b=197],day=-1,graphHeight=58204], 1893972404, -1963119384
Track[name=Call Me Maybe,artist=Carly Rae Jepsen,duration=188,color=java.awt.Color[r=117,g=138,b=191],day=-1,graphHeight=55004], 1991578194, 1468520882
Track[name=Payphone,artist=Maroon 5,duration=231,color=java.awt.Color[r=242,g=13,b=200],day=-1,graphHeight=54579], 1774584416, -577600373
Track[name=Princess of China,artist=Coldplay,duration=239,color=java.awt.Color[r=79,g=176,b=26],day=-1,graphHeight=54318], 1187390176, 1154393501
Track[name=Black Heart,artist=Stooshe,duration=206,color=java.awt.Color[r=16,g=239,b=229],day=-1,graphHeight=54109], 2048640108, -1461216086
Track[name=Whistle,artist=Flo Rida,duration=218,color=java.awt.Color[r=9,g=246,b=242],day=-1,graphHeight=53884], 888982805, 299465661
Track[name=Call My Name,artist=Cheryl Cole,duration=44,color=java.awt.Color[r=122,g=133,b=57],day=-1,graphHeight=53675], 1090271456, -756908349
Track[name=Payphone,artist=Maroon 5,duration=231,color=java.awt.Color[r=242,g=13,b=200],day=-1,graphHeight=53444], 1861884788, -577600373
Track[name=Payphone,artist=Maroon 5,duration=231,color=java.awt.Color[r=242,g=13,b=200],day=-1,graphHeight=52671], 1713411479, -577600373
Track[name=What Do You Do with a B.A. in English?/It Sucks To Be Me,artist=Jordan Gelber;John Tartaglia,duration=355,color=java.awt.Color[r=29,g=226,b=219],day=-1,graphHeight=52305], 1698504930, 574897414
Track[name=Picking Up The Pieces - Radio Edit,artist=Paloma Faith,duration=219,color=java.awt.Color[r=125,g=130,b=70],day=-1,graphHeight=52168], 272238939, -52710286
Track[name=Payphone,artist=Maroon 5,duration=231,color=java.awt.Color[r=242,g=13,b=200],day=-1,graphHeight=51938], 1379679663, -577600373
Track[name=I Know Him So Well - Musical "Chess",artist=Elaine Paige,duration=255,color=java.awt.Color[r=227,g=28,b=150],day=-1,graphHeight=43713], 1895159382, -1919477411
Track[name=The Worst Pies in London,artist=Helena Bonham Carter,duration=143,color=java.awt.Color[r=18,g=237,b=38],day=-1,graphHeight=43569], 466280970, 912096273
Track[name=Prologue: Jellicle Songs For Jellicle Cats,artist=Original Cast Of Cats,duration=317,color=java.awt.Color[r=178,g=77,b=223],day=-1,graphHeight=43223], 616434887, 415444387
Track[name=Macavity The Mystery Cat - UK 1981 / Musical "Cats",artist=Original Cast Of Cats,duration=418,color=java.awt.Color[r=223,g=32,b=189],day=-1,graphHeight=42805], 960032681, -70134408
Track[name=Scary Monsters And Nice Sprites - Noisa Remix,artist=Skrillex,duration=204,color=java.awt.Color[r=69,g=186,b=88],day=-1,graphHeight=40663], 1224629656, 816754817
Track[name=With You, Friends [Long Drive],artist=Skrillex,duration=389,color=java.awt.Color[r=87,g=168,b=118],day=-1,graphHeight=40275], 867355544, -2116728670
Track[name=All I Ask Of You - Feat. Penny,artist=Skrillex,duration=340,color=java.awt.Color[r=206,g=49,b=190],day=-1,graphHeight=39899], 525632172, 389035906
Track[name=Kill Everybody,artist=Skrillex,duration=332,color=java.awt.Color[r=80,g=175,b=94],day=-1,graphHeight=39601], 1699674693, -1299656867
Track[name=Scary Monsters And Nice Sprites,artist=Skrillex,duration=197,color=java.awt.Color[r=203,g=52,b=134],day=-1,graphHeight=39358], 605092857, 1571245013
Track[name=Rock N' Roll [Will Take You To The Mountain],artist=Skrillex,duration=284,color=java.awt.Color[r=99,g=156,b=170],day=-1,graphHeight=39074], 1460579054, -227026898
Track[name=Suck It And See,artist=Arctic Monkeys,duration=105,color=java.awt.Color[r=207,g=48,b=39],day=-1,graphHeight=38827], 66591721, -1521933177
Track[name=Dancing Shoes,artist=Arctic Monkeys,duration=142,color=java.awt.Color[r=172,g=83,b=252],day=-1,graphHeight=38686], 368074760, -2118583276
Track[name=That's Where You're Wrong,artist=Arctic Monkeys,duration=159,color=java.awt.Color[r=128,g=127,b=79],day=-1,graphHeight=38428], 1479587960, 128301962
Track[name=I Bet You Look Good On The Dancefloor,artist=Arctic Monkeys,duration=175,color=java.awt.Color[r=217,g=38,b=112],day=-1,graphHeight=38254], 1721695107, 1329631484
Track[name=Mardy Bum,artist=Arctic Monkeys,duration=176,color=java.awt.Color[r=58,g=197,b=151],day=-1,graphHeight=38078], 1335003671, -2127218647
Track[name=The Hellcat Spangled Shalalala,artist=Arctic Monkeys,duration=138,color=java.awt.Color[r=244,g=11,b=179],day=-1,graphHeight=37897], 497554641, 1581449259
Track[name=Old Yellow Bricks,artist=Arctic Monkeys,duration=186,color=java.awt.Color[r=10,g=245,b=174],day=-1,graphHeight=37703], 99529869, -183598527
